player,position,college,cmbn_score,athlete_score,prod_score,name_norm,pos_group
Jadon Canady,DB,Oregon,65.8,62,67.5,jadon canady,CB
Latrell McCutchin Sr.,DB,Houston,70.5,79.9,62.5,latrell mccutchin,CB
Jager Burton,OL,Kentucky,60.3,83,54.4,jager burton,IOL
Cameron Ball,DL,Arkansas,65,62.6,64.7,cameron ball,DL
Roman Hemby,RB,Indiana,63.6,72.8,58.4,roman hemby,RB
Darrell Jackson Jr.,DL,Florida State,71.3,68,69.3,darrell jackson,DL
Dontay Corleone,DL,Cincinnati,68,69.8,65.2,dontay corleone,DL
Jaeden Roberts,OL,Alabama,73.7,78.6,70.8,jaeden roberts,IOL
Deontae Lawson,LB,Alabama,70.1,69.9,68.6,deontae lawson,LB
Tim Keenan III,DL,Alabama,59.8,57,60.2,tim keenan,DL
Donaven McCulley,WR,Michigan,58.1,66.5,53.1,donaven mcculley,WR
Gennings Dunker,OL,Iowa,75.2,86,59.1,gennings dunker,IOL
Beau Stephens,OL,Iowa,73.3,66.7,70.7,beau stephens,IOL
Karson Sharar,LB,Iowa,73.7,84.3,64.8,karson sharar,LB
Max Llewellyn,DL,Iowa,65.9,64.8,67.5,max llewellyn,DL
Tyler Onyedim,DL,Texas A&M,65.9,75,63.7,tyler onyedim,DL
Sawyer Robertson,QB,Baylor,67.3,65.3,65.8,sawyer robertson,QB
Michael Trigg,TE,Baylor,72,70.1,69,michael trigg,TE
Lake McRee,TE,USC,65.5,73.2,62.9,lake mcree,TE
Malachi Fields,WR,Notre Dame,74.2,71.7,69.6,malachi fields,WR
Jacob Rodriguez,LB,Texas Tech,78.9,85.8,69.9,jacob rodriguez,LB
Logan Taylor,OL,Boston College,56.8,71.7,53.5,logan taylor,IOL
Micah Morris,OL,Georgia,73.3,85,72.6,micah morris,IOL
Xavian Sorey Jr.,LB,Arkansas,65.8,73.9,55.1,xavian sorey,LB
Austin Barber,OL,Florida,75.6,83.7,66,austin barber,IOL
Jake Slaughter,OL,Florida,81.2,73.4,92.1,jake slaughter,IOL
George Gumbs Jr.,LB,Florida,63.1,74.9,57.9,george gumbs,LB
Nick Barrett,DL,South Carolina,60.2,65.5,57.6,nick barrett,DL
Trey Moore,LB,Texas,69.3,75.8,72.4,trey moore,LB
Behren Morton,QB,Texas Tech,68.9,67.4,58.8,behren morton,QB
Josh Cameron,WR,Baylor,70,80.3,56.8,josh cameron,WR
Jakobe Thomas,DB,Miami (FL),66.3,70.2,65.4,jakobe thomas,CB
Eric Rivers,WR,Georgia Tech,76.1,81.3,75.1,eric rivers,WR
Travis Burke,OL,Memphis,70.1,81.4,66.1,travis burke,IOL
Ahmari Harvey,DB,Georgia Tech,69.5,61.3,67.1,ahmari harvey,CB
Lee Hunter,DL,Texas Tech,72.8,52.7,81.7,lee hunter,DL
Enrique Cruz Jr.,OL,Kansas,71.1,89.9,63.7,enrique cruz,IOL
Will Kacmarek,TE,Ohio State,67.8,73.9,62.6,will kacmarek,TE
Dametrious Crownover,OL,Texas A&M,69,75.4,56.4,dametrious crownover,IOL
Albert Regis,DL,Texas A&M,65.2,70.3,65,albert regis,DL
Eli Stowers,TE,Vanderbilt,85.8,89.8,81.8,eli stowers,TE
Trey Zuhn III,OL,Texas A&M,68.5,73.9,65.3,trey zuhn,IOL
Jake Golday,LB,Cincinnati,83.8,80.7,82.2,jake golday,LB
Febechi Nwaiwu,OL,Oklahoma,74.3,77.2,72.6,febechi nwaiwu,IOL
DJ Rogers,TE,TCU,68.9,69.7,68.7,dj rogers,TE
De'Zhaun Stribling,WR,Mississippi,76,85.5,69,de'zhaun stribling,WR
David Gusta,DL,Kentucky,72.3,91,60.9,david gusta,DL
Dalton Johnson,DB,Arizona,71.2,72.6,68.5,dalton johnson,CB
Chase Roberts,WR,BYU,71.6,66.5,70,chase roberts,WR
Garrett Nussmeier,QB,LSU,70.5,72.1,63,garrett nussmeier,QB
Chris Hilton Jr.,WR,LSU,68.1,70.9,55.9,chris hilton,WR
J. Michael Sturdivant,WR,Florida,71.5,86,58,j michael sturdivant,WR
Kaleb Elarms-Orr,LB,TCU,73.8,82.5,66.9,kaleb elarms-orr,LB
Michael Taaffe,DB,Texas,70.2,70,72.8,michael taaffe,CB
Deion Burks,WR,Oklahoma,77.3,92.9,61.4,deion burks,WR
Patrick Payton,LB,LSU,59.6,67.9,61.4,patrick payton,LB
Lorenzo Styles Jr.,DB,Ohio State,65,79.7,57.1,lorenzo styles,CB
Pat Coogan,OL,Indiana,65.7,72.7,60.8,pat coogan,IOL
Kendal Daniels,DB,Oklahoma,67,72.8,61.7,kendal daniels,CB
Caleb Banks,DL,Florida,71.4,77.4,66.2,caleb banks,DL
Luke Altmyer,QB,Illinois,64.9,76.6,58.7,luke altmyer,QB
Bauer Sharp,TE,LSU,72.6,76.2,65,bauer sharp,TE
J'Mari Taylor,RB,Virginia,68.5,68.2,69.3,j'mari taylor,RB
Josh Cuevas,TE,Alabama,70.2,68.3,76.1,josh cuevas,TE
Andre Fuller,DB,Toledo,75.6,71.9,75.3,andre fuller,CB
John Michael Gyllenborg,TE,Wyoming,72.5,83.8,64,john michael gyllenborg,TE
Emmett Johnson,RB,Nebraska,73.7,63.8,75.6,emmett johnson,RB
DJ Singleton Jr.,DB,Nebraska,72.8,78.9,66,dj singleton,CB
Gabe Jacas,LB,Illinois,74.1,74.5,74.6,gabe jacas,LB
Thaddeus Dixon,DB,North Carolina,69.9,72.3,64.7,thaddeus dixon,CB
Justin Joly,TE,North Carolina State,74.4,69.7,77.6,justin joly,TE
Marcus Allen,DB,North Carolina,64.4,59.6,62.7,marcus allen,CB
Diego Pavia,QB,Vanderbilt,77.3,85.6,74.1,diego pavia,QB
Keyshaun Elliott,LB,Arizona State,68.1,78.5,58.9,keyshaun elliott,LB
Isaiah World,OL,Oregon,67.8,70.3,56.5,isaiah world,IOL
Elijah Sarratt,WR,Indiana,79.2,72.9,83.2,elijah sarratt,WR
Demond Claiborne,RB,Wake Forest,68.4,80.7,55.8,demond claiborne,RB
CJ Donaldson,RB,Ohio State,63.9,69.1,55.6,cj donaldson,RB
Kyle Louis,LB,Pittsburgh,75.5,86.4,69.5,kyle louis,LB
Avery Smith,DB,Toledo,71.1,62.4,73.7,avery smith,CB
Emmanuel McNeil-Warren,DB,Toledo,81.4,75.1,80.6,emmanuel mcneil-warren,CB
Tanner Koziol,TE,Houston,69,71.6,68.1,tanner koziol,TE
Joshua Josephs,LB,Tennessee,69,68.1,67.5,joshua josephs,LB
Max Klare,TE,Ohio State,76.1,68.3,71.6,max klare,TE
Drew Allar,QB,Penn State,72.5,75.4,69,drew allar,QB
Kaytron Allen,RB,Penn State,69.5,69.7,68.6,kaytron allen,RB
Dani Dennis-Sutton,DL,Penn State,77.5,85.4,75.2,dani dennis-sutton,DL
Zane Durant,DL,Penn State,69.5,88.7,58.7,zane durant,DL
Olaivavega Ioane,OL,Penn State,79.7,73.7,75.5,olaivavega ioane,IOL
Drew Shelton,OL,Penn State,70.5,78.5,62.3,drew shelton,IOL
Nicholas Singleton,RB,Penn State,71.9,76.3,63.6,nicholas singleton,RB
Hezekiah Masses,DB,California,62.4,53.3,66.7,hezekiah masses,CB
Germie Bernard,WR,Alabama,74.4,74.2,68.9,germie bernard,WR
Zion Young,DL,Missouri,74.1,68.1,79.6,zion young,DL
Vincent Anthony Jr.,DL,Duke,64.3,65.3,64.6,vincent anthony,DL
